"brewery_id","beer_name","beer_id","abv","ibu","style","ounces"
44,"Maxwell's Scottish Ale",1102,0.051,NA,"Scottish Ale",12
44,"Grateful White",1101,0.061,NA,"Witbier",12
44,"RT Lager",1100,0.055,NA,"American Amber / Red Lager",12
44,"Old Wylie's IPA",1099,0.062,NA,"American IPA",12
44,"Hala Kahiki Pineapple Beer",1098,0.048,NA,"Fruit / Vegetable Beer",12
45,"Fist City",2576,0.055,40,"American Pale Ale (APA)",12
45,"A Little Crazy",1133,0.068,NA,"Belgian Pale Ale",12
45,"Rosa Hibiscus Ale",609,0.058,15,"Herbed / Spiced Beer",12
45,"Fistmas Ale",418,0.061,31,"Herbed / Spiced Beer",12
45,"Oktoberfest Revolution",417,0.057,25,"Märzen / Oktoberfest",12
45,"Eugene Porter",416,0.068,28,"American Porter",12
45,"Anti-Hero IPA",415,0.065,70,"American IPA",12
45,"Bottom Up Belgian Wit",414,0.05,14,"Witbier",12
46,"Wild Plum Farmhouse Ale",1196,0.056,20,"Saison / Farmhouse Ale",16
46,"Vanilla Bean Buffalo Sweat",1063,0.05,20,"Oatmeal Stout",16
46,"Ethos IPA",1017,0.068,110,"American IPA",16
46,"Tallgrass Pub Ale",1009,0.044,12,"American Brown Ale",16
46,"Oasis",912,0.072,93,"Extra Special / Strong Bitter (ESB)",16
46,"Buffalo Sweat",765,0.05,20,"Milk / Sweet Stout",16
46,"Halcyon Unfiltered Wheat",676,0.05,20,"American Pale Wheat Ale",16
46,"Wooden Rooster",2575,0.085,34,"Tripel",16.9
46,"Ginger Peach Saison",2555,0.048,20,"Saison / Farmhouse Ale",16
46,"Zombie Monkie",1736,0.062,35,"American Porter",16
46,"8-Bit Pale Ale",595,0.052,NA,"American Pale Ale (APA)",16
46,"Velvet Rooster",537,0.085,NA,"Tripel",16
46,"Halcyon Unfiltered Wheat",412,0.05,20,"American Pale Wheat Ale",12
46,"Köld Lager (2010)",105,0.05,16,"German Pilsener",16
46,"Oasis (2010)",104,0.072,93,"American Double / Imperial IPA",16
46,"Tallgrass Ale",103,0.044,22,"American Brown Ale",16
46,"Buffalo Sweat (2010)",102,0.05,20,"Milk / Sweet Stout",16
46,"Tallgrass IPA",101,0.063,60,"American IPA",16
47,"4Beans",2574,0.1,52,"Baltic Porter",12
47,"Jammer",2479,0.042,16,"Gose",12
47,"Abigale",2443,0.08,NA,"Belgian Pale Ale",12
47,"Rad",2266,0.032,7,"Fruit / Vegetable Beer",16
47,"Bengali",2090,0.065,62,"American IPA",24
47,"Sensi Harvest",1962,0.047,50,"American Pale Ale (APA)",12
47,"Hi-Res",1696,0.099,111,"American Double / Imperial IPA",12
